	text	DIALECT	IRONY
0	Mohammedwolfwin  حركي من درجة كسول قالك الجزائر فرضت عقوبات على المغرب🇲🇦😂 بل العقوبات هي طوابيركم اليومية وألف سيارة فيات نسائية تقارنون أنفسكم بالمملكة المغربية دولة تصنع وبدون ثروات وانتم بيترولكم وغازكم تستوردون خردة إيطالية موديل 2006وبكوطا نفس عقلية النظام الإشتراكي الذي أكل الدهر منه وشرب	1	1.0
1	"مميزات #فيات_500 الجديدة وأسعار 4 طرازاتها  
https://t.co/vELjewJeVb   

#الجزائر #النهار #آخر_الأخبار #أخبار_الجزائر #فيات_الجزائر #فيات_500
#Algerie #EnnaharTV #EnnaharInfos #ActualitéAlgérie #Actualités"	1	0.0
2	 D36احد الدولة هوك🇩🇿 ▶️ فرحانين حيت مستوردين الف سيارة فيات 500 نسوية من ايطاليا 😅 خصنا نشوفوا شي خصم اخر هادو 🇩🇿 ما خصوم ما والو ضعااااااااف 😂	2	1.0
3	@AbdullaSenhaji احسنت👍 ، نعم كاينين انظمة تطبق على فئات من طلبة الجامعيين للمساكين المحتاجين، بطاقة صاحبها يذوب وسط العامة برصيد نقط ويدفع ثمن رمزي بسيط، احفظ لكرامته ولنظام العام	1	0.0
4	"#المغرب 🇲🇦: فيراري تطلق أحدث سيارتها ""روما سبيدر""  

#الجزائر_اضحوكة_العالم 🇩🇿: تقيم الدنيا ولم تقعدها بسترادها لبضع سيارات #فيات 500

هذه الفوارق هي التي تجعل #الكراغلة ين بحون ويغضووون في الواقع وفي المواقع. 
#الجزائر https://t.co/USR53PUs4R"	1	1.0
5	@soufian_khalih1 بحال فيرارى بحال فيات الله يرزق غير الصحة والسلامة 😂😂😂😂😂 https://t.co/YpVfJBCT9E	2	1.0
6	@dlimi_abdallah العياشي هاد الأيام راه مركز على قضية فتح مصنع شركة فيات الإيطالية في الجزائر هههه	2	1.0
7	"@Haloma_Dz16 والله وليت نشك بلي عندهم صح خلل 
ما شفتيش تعليقاتهم على سيارات فيات ... لي يشوف يقول شعب يسوق غير في الفيراري و المرسيدس و لامبرغيني... وهما أبسط حلم كسب سيارة QQ"	2	1.0
8	في دول ما اصطف الوزراء والولاة والاعلام وووو على اخد صورة مع فيات 500...لكل قيمته https://t.co/HhAiXCymEQ	1	1.0
9	فيات 500 وفراري سبايدر  ماركات عالميه إيطالية كل واحدة حسب قيمتها 😁😁😁 https://t.co/QacQE9UFmz	1	1.0
